index,input,output
500,-0.613776,-0.466033
501,-0.612604,-0.466069
502,-0.611431,-0.466106
503,-0.610259,-0.466142
504,-0.609086,-0.466179
505,-0.607914,-0.466215
506,-0.606742,-0.466252
507,-0.605569,-0.466288
508,-0.604397,-0.466325
509,-0.603224,-0.466361
510,-0.602052,-0.466397
511,-0.600879,-0.466433
512,-0.599707,-0.466469
513,-0.598534,-0.466506
514,-0.597362,-0.466542
515,-0.59619,-0.466578
516,-0.595017,-0.466614
517,-0.593845,-0.46665
518,-0.592672,-0.466686
519,-0.5915,-0.466722
520,-0.590327,-0.466758
521,-0.589155,-0.466793
522,-0.587982,-0.466829
523,-0.58681,-0.466865
524,-0.585638,-0.466901
525,-0.584465,-0.466936
526,-0.583293,-0.466972
527,-0.58212,-0.467008
528,-0.580948,-0.467043
529,-0.579775,-0.467079
530,-0.578603,-0.467114
531,-0.57743,-0.46715
532,-0.576258,-0.467185
533,-0.575086,-0.467221
534,-0.573913,-0.467256
535,-0.572741,-0.467291
536,-0.571568,-0.467327
537,-0.570396,-0.467362
538,-0.569223,-0.467397
539,-0.568051,-0.467432
540,-0.566878,-0.467467
541,-0.565706,-0.467503
542,-0.564533,-0.467538
543,-0.563361,-0.467573
544,-0.562189,-0.467608
545,-0.561016,-0.467643
546,-0.559844,-0.467678
547,-0.558671,-0.467712
548,-0.557499,-0.467747
549,-0.556326,-0.467782
550,-0.555154,-0.467817
551,-0.553981,-0.467852
552,-0.552809,-0.467886
553,-0.551637,-0.467921
554,-0.550464,-0.467956
555,-0.549292,-0.46799
556,-0.548119,-0.468025
557,-0.546947,-0.468059
558,-0.545774,-0.468094
559,-0.544602,-0.468128
560,-0.543429,-0.468163
561,-0.542257,-0.468197
562,-0.541085,-0.468231
563,-0.539912,-0.468266
564,-0.53874,-0.4683
565,-0.537567,-0.468334
566,-0.536395,-0.468368
567,-0.535222,-0.468403
568,-0.53405,-0.468437
569,-0.532877,-0.468471
570,-0.531705,-0.468505
571,-0.530533,-0.468539
572,-0.52936,-0.468573
573,-0.528188,-0.468607
574,-0.527015,-0.468641
575,-0.525843,-0.468675
576,-0.52467,-0.468709
577,-0.523498,-0.468742
578,-0.522325,-0.468776
579,-0.521153,-0.46881
580,-0.51998,-0.468844
581,-0.518808,-0.468877
582,-0.517636,-0.468911
583,-0.516463,-0.468945
584,-0.515291,-0.468978
585,-0.514118,-0.469012
586,-0.512946,-0.469045
587,-0.511773,-0.469079
588,-0.510601,-0.469112
589,-0.509428,-0.469145
590,-0.508256,-0.469179
591,-0.507084,-0.469212
592,-0.505911,-0.469245
593,-0.504739,-0.469279
594,-0.503566,-0.469312
595,-0.502394,-0.469345
596,-0.501221,-0.469378
597,-0.500049,-0.469411
598,-0.498876,-0.469444
599,-0.497704,-0.469477
600,-0.496532,-0.46951
601,-0.495359,-0.469543
602,-0.494187,-0.469576
603,-0.493014,-0.469609
604,-0.491842,-0.469642
605,-0.490669,-0.469675
606,-0.489497,-0.469708
607,-0.488324,-0.469741
608,-0.487152,-0.469773
609,-0.485979,-0.469806
610,-0.484807,-0.469839
611,-0.483635,-0.469871
612,-0.482462,-0.469904
613,-0.48129,-0.469937
